agent1,agent1_payoff,agent2,agent2_payoff,n_plays,prob
MyAgent,18,TitforTat,18,6,0.9
MyAgent,636,TitforTat,636,212,0.99
MyAgent,24,TitforTwoTats,12,6,0.75
MyAgent,32,TitforTwoTats,16,8,0.9
MyAgent,480,TitforTwoTats,240,120,0.99
MyAgent,5,PavlovAgent,1,1,0.75
MyAgent,19,PavlovAgent,19,7,0.9
MyAgent,181,PavlovAgent,177,65,0.99
MyAgent,16,WinStayLoseShift,12,5,0.75
MyAgent,6,WinStayLoseShift,6,2,0.9
MyAgent,44,WinStayLoseShift,44,16,0.99
MyAgent,6,NeverForgive,6,2,0.75
MyAgent,11,NeverForgive,15,5,0.9
MyAgent,249,NeverForgive,573,164,0.99
MyAgent,7,MyAgent,7,3,0.75
MyAgent,15,MyAgent,15,6,0.9
MyAgent,100,MyAgent,100,40,0.99
